property_id,property_name,category,city
16558,Univocal Grands,Luxury,Delhi
16559,Univocal Exotica,Luxury,Mumbai
16560,Univocal City,Business,Delhi
16561,Univocal Blu,Luxury,Delhi
16562,Univocal Bay,Luxury,Delhi
16563,Univocal Palace,Business,Delhi
17558,Univocal Grands,Luxury,Mumbai
17559,Univocal Exotica,Luxury,Mumbai
17560,Univocal City,Business,Mumbai
17561,Univocal Blu,Luxury,Mumbai
17562,Univocal Bay,Luxury,Mumbai
17563,Univocal Palace,Business,Mumbai
18558,Univocal Grands,Luxury,Hyderabad
18559,Univocal Exotica,Luxury,Hyderabad
18560,Univocal City,Business,Hyderabad
18561,Univocal Blu,Luxury,Hyderabad
18562,Univocal Bay,Luxury,Hyderabad
18563,Univocal Palace,Business,Hyderabad
19558,Univocal Grands,Luxury,Bangalore
19559,Univocal Exotica,Luxury,Bangalore
19560,Univocal City,Business,Bangalore
19561,Univocal Blu,Luxury,Bangalore
19562,Univocal Bay,Luxury,Bangalore
19563,Univocal Palace,Business,Bangalore
17564,Univocal Seasons,Business,Mumbai
